id,polarity
1,negative
2,neutral
3,negative
4,neutral
5,neutral
6,neutral
7,positive
8,negative
9,positive
10,neutral
11,neutral
12,neutral
13,neutral
14,positive
15,neutral
16,negative
17,positive
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
23,neutral
24,neutral
25,neutral
26,neutral
27,positive
28,neutral
29,positive
30,neutral
31,neutral
32,positive
33,neutral
34,negative
35,positive
36,neutral
37,neutral
38,neutral
39,neutral
40,positive
41,positive
42,neutral
43,neutral
44,neutral
45,neutral
46,negative
47,neutral
48,neutral
49,neutral
50,positive
51,positive
52,neutral
53,neutral
54,neutral
55,neutral
56,positive
57,neutral
58,neutral
59,neutral
60,neutral
61,neutral
62,neutral
63,neutral
64,neutral
65,neutral
66,neutral
67,neutral
68,positive
69,neutral
70,neutral
71,positive
72,neutral
73,neutral
74,positive
75,negative
76,neutral
77,neutral
78,neutral
79,positive
80,positive
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,positive
87,positive
88,neutral
89,neutral
90,neutral
91,neutral
92,positive
93,positive
94,neutral
95,positive
96,positive
97,positive
98,neutral
99,positive
100,neutral
101,negative
102,neutral
103,neutral
104,neutral
105,positive
106,positive
107,negative
108,neutral
109,neutral
110,neutral
111,negative
112,neutral
113,neutral
114,positive
115,neutral
116,neutral
117,positive
118,neutral
119,positive
120,neutral
121,neutral
122,neutral
123,positive
124,positive
125,neutral
126,neutral
127,neutral
128,neutral
129,neutral
130,neutral
131,neutral
132,neutral
133,neutral
134,neutral
135,positive
136,neutral
137,neutral
138,positive
139,neutral
140,neutral
141,neutral
142,positive
143,neutral
144,neutral
145,positive
146,positive
147,positive
148,neutral
149,neutral
150,positive
151,positive
152,neutral
153,neutral
154,neutral
155,neutral
156,positive
157,positive
158,neutral
159,neutral
160,neutral
161,neutral
162,positive
163,neutral
164,neutral
165,neutral
166,neutral
167,neutral
168,neutral
169,positive
170,neutral
171,positive
172,neutral
173,neutral
174,positive
175,positive
176,negative
177,positive
178,positive
179,positive
180,positive
181,neutral
182,positive
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,positive
190,neutral
191,neutral
192,positive
193,neutral
194,positive
195,positive
196,neutral
197,neutral
198,neutral
199,positive
200,positive
201,positive
202,positive
203,negative
204,positive
205,negative
206,positive
207,positive
208,positive
209,positive
210,positive
211,positive
212,neutral
213,negative
214,positive
215,positive
216,neutral
217,neutral
218,neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,positive
224,neutral
225,positive
226,positive
227,negative
228,neutral
229,positive
230,positive
231,neutral
232,neutral
233,negative
234,neutral
235,positive
236,neutral
237,neutral
238,positive
239,positive
240,positive
241,positive
242,positive
243,neutral
244,neutral
245,positive
246,positive
247,neutral
248,neutral
249,neutral
250,positive
251,positive
252,neutral
253,positive
254,negative
255,positive
256,negative
257,neutral
258,positive
259,negative
260,neutral
261,neutral
262,neutral
263,neutral
264,negative
265,positive
266,positive
267,neutral
268,neutral
269,neutral
270,neutral
271,neutral
272,negative
273,neutral
274,positive
275,negative
276,neutral
277,neutral
278,neutral
279,negative
280,neutral
281,negative
282,neutral
283,neutral
284,neutral
285,negative
286,positive
287,neutral
288,positive
289,neutral
290,neutral
291,positive
292,positive
293,neutral
294,negative
295,positive
296,neutral
297,positive
298,neutral
299,positive
300,neutral
301,negative
302,neutral
303,neutral
304,neutral
305,neutral
306,neutral
307,neutral
308,neutral
309,neutral
310,neutral
311,positive
312,positive
313,neutral
314,negative
315,negative
316,neutral
317,positive
318,neutral
319,positive
320,positive
321,neutral
322,neutral
323,positive
324,positive
325,neutral
326,positive
327,positive
328,neutral
329,neutral
330,neutral
331,neutral
332,neutral
333,neutral
334,neutral
335,positive
336,neutral
337,neutral
338,neutral
339,positive
340,positive
341,neutral
342,positive
343,positive
344,neutral
345,positive
346,positive
347,positive
348,positive
349,positive
350,neutral
351,neutral
352,positive
353,positive
354,neutral
355,neutral
356,neutral
357,negative
358,neutral
359,positive
360,neutral
361,negative
362,positive
363,neutral
364,neutral
365,positive
366,neutral
367,positive
368,positive
369,neutral
370,neutral
371,positive
372,neutral
373,negative
374,positive
375,positive
376,neutral
377,positive
378,neutral
379,positive
380,neutral
381,positive
382,neutral
383,positive
384,positive
385,neutral
386,positive
387,neutral
388,neutral
389,neutral
390,positive
391,positive
392,neutral
393,positive
394,positive
395,positive
396,neutral
397,negative
398,positive
399,neutral
400,positive
401,neutral
402,positive
403,neutral
404,neutral
405,neutral
406,positive
407,neutral
408,neutral
409,negative
410,neutral
411,neutral
412,positive
413,neutral
414,neutral
415,neutral
416,neutral
417,neutral
418,neutral
419,neutral
420,neutral
421,positive
422,neutral
423,positive
424,neutral
425,positive
426,neutral
427,neutral
428,neutral
429,neutral
430,neutral
431,neutral
432,positive
433,negative
434,positive
435,neutral
436,neutral
437,positive
438,positive
439,positive
440,neutral
441,neutral
442,neutral
443,neutral
444,neutral
445,negative
446,neutral
447,neutral
448,positive
449,negative
450,neutral
451,positive
452,neutral
453,neutral
454,positive
455,positive
456,neutral
457,positive
458,neutral
459,neutral
460,neutral
461,neutral
462,positive
463,positive
464,negative
465,positive
466,neutral
467,positive
468,neutral
469,negative
470,negative
471,neutral
472,neutral
473,neutral
474,positive
475,negative
476,neutral
477,neutral
478,neutral
479,negative
480,positive
481,neutral
482,positive
483,neutral
484,positive
485,neutral
486,neutral
487,neutral
488,neutral
489,positive
490,neutral
491,neutral
492,positive
493,neutral
494,positive
495,positive
496,positive
497,neutral
498,neutral
499,neutral
500,neutral
501,positive
502,positive
503,neutral
504,neutral
505,neutral
506,neutral
507,neutral
508,neutral
509,neutral
510,positive
511,neutral
512,neutral
513,positive
514,negative
515,neutral
516,neutral
517,neutral
518,positive
519,positive
520,neutral
521,neutral
522,positive
523,neutral
524,positive
525,neutral
526,neutral
527,positive
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,positive
534,negative
535,neutral
536,positive
537,positive
538,neutral
539,neutral
540,neutral
541,positive
542,neutral
543,neutral
544,neutral
545,neutral
546,neutral
547,positive
548,positive
549,neutral
550,neutral
551,neutral
552,neutral
553,positive
554,neutral
555,neutral
556,neutral
557,neutral
558,neutral
559,negative
560,neutral
561,positive
562,positive
563,neutral
564,neutral
565,neutral
566,positive
567,positive
568,neutral
569,neutral
570,negative
571,neutral
572,neutral
573,neutral
574,neutral
575,neutral
576,neutral
577,positive
578,positive
579,positive
580,neutral
581,neutral
582,neutral
583,neutral
584,neutral
585,negative
586,neutral
587,neutral
588,positive
589,neutral
590,neutral
591,neutral
592,positive
593,positive
594,neutral
595,negative
596,neutral
597,neutral
598,neutral
599,neutral
600,neutral
601,positive
602,neutral
603,neutral
604,neutral
605,neutral
606,positive
607,positive
608,neutral
609,neutral
610,neutral
